,Unnamed: 0,City,Client Group,Contact Method,Country,Date Closed,Language,Month,Organization,Postal/Zip Code,Prog. Area,Program,Prov/State,Reason for Enquiry,Resolution,SRT #,SRT Status,Sector,Topic
5390,1764,,Company,Telephone,Canada,2019-02-14,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500938,Closed,Small Business Tourism and Marketplace Services,Corporations
5398,1772,,Individual,Telephone,Canada,2019-02-14,French,Feb,"Innovation, Science and Economic Development Canada",,"Other
Telephone Directory","Connecting Families
The Department",Québec,"Requires Contact Information
Requires Information on a Procedure",Completed,500919,Closed,Digital Transformation Service Sector,"Internet radio and wireless
Corporate content"
5421,1795,,Individual,Telephone,Canada,2019-02-14,English,Feb,Provincial Government,,,Saskatchewan,Ontario,"Requires Expert Information
Requires Information on a Procedure",Referral (External),501017,Closed,,Corporations
5435,1809,,Individual,Telephone,Unknown,2019-02-14,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),,Requires Contact Information,Completed,500973,Closed,Small Business Tourism and Marketplace Services,Corporations
5436,1810,,Professional Services,Telephone,Canada,2019-02-14,English,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Ontario,"Obtain Official Document
Requires Information on a Procedure
Requires Navigational Aid",Completed,500976,Closed,Small Business Tourism and Marketplace Services,Corporations
5438,1812,,Individual,Telephone,Canada,2019-02-14,English,Feb,Enterprises,,,Private Enterprise,Ontario,Other,Completed,500971,Closed,,Other
5443,1817,,Company,Telephone,Canada,2019-02-14,English,Feb,"Innovation, Science and Economic Development Canada
Provincial Government",,Incorporate a Business,"Corporations Canada (CC)
British Columbia",,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,500962,Closed,"Small Business Tourism and Marketplace Services
",Corporations
5445,1819,,Company,Telephone,Canada,2019-02-14,French,Feb,Provincial Government,,,Quebec,Québec,Misdirected to Industry Canada,Completed,500959,Closed,,Corporations
5448,1822,,Company,Telephone,Canada,2019-02-14,French,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500988,Closed,Small Business Tourism and Marketplace Services,Corporations
5449,1823,,Individual,Telephone,Canada,2019-02-14,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Prince Edward Island,Requires Information on a Procedure,Completed,500993,Closed,Innovation Canada,Innovation
5450,1824,,Company,Telephone,Canada,2019-02-14,English,Feb,"Innovation, Science and Economic Development Canada",,Connect to Innovate,"Digital Literacy Exchange Program
Digital Skills for Youth Program
Spectrum Management and Telecommunications",British Columbia,"Requires Information on a Procedure
Requires Navigational Aid",Completed,500994,Closed,"Digital Transformation Service Sector
Spectrum Information Technologies and Telecommunications",Innovation
5451,1825,,Individual,Telephone,Canada,2019-02-14,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Ontario,Requires Expert Information,Referral (Internal),500990,Closed,Innovation Canada,Innovation
5457,1831,,Individual,Telephone,Canada,2019-02-14,English,Feb,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Innovation Canada Platform
Small Business, Tourism and Marketplace Services",Alberta,"Requires Information on a Procedure
Requires Navigational Aid",Completed,500984,Closed,"Innovation Canada
Small Business Tourism and Marketplace Services","Financing
Industries and business"
5486,1860,,Company,Telephone,Canada,2019-02-14,French,Feb,"Innovation, Science and Economic Development Canada",,Change of Registered Office Address,Corporations Canada (CC),Ontario,"Requires Navigational Aid
Requires Information on a Procedure",Completed,499002,Closed,Small Business Tourism and Marketplace Services,Corporations
5490,1864,,Company,Telephone,Canada,2019-02-13,French,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),New Brunswick,Obtain Official Document,"Completed
Referral (Internal)",500818,Closed,Small Business Tourism and Marketplace Services,Corporations
5496,1870,,Company,Telephone,Canada,2019-02-13,English,Feb,"Innovation, Science and Economic Development Canada",,Password,IC Registration,Québec,"Problem (Non-Technical)
Requires Navigational Aid",Completed,500855,Closed,Communications and Marketing Branch,Other
5504,1878,,Individual,Telephone,Canada,2019-02-13,English,Feb,"Innovation, Science and Economic Development Canada",,Not Applicable,Strategic Innovation Fund,Ontario,Requires Contact Information,Completed,500873,Closed,Innovation Canada,Innovation
5506,1880,,Company,Telephone,Canada,2019-02-13,English,Feb,"Innovation, Science and Economic Development Canada",,Not Applicable,Strategic Innovation Fund,Ontario,Requires Contact Information,Completed,500836,Closed,Innovation Canada,Innovation
5507,1881,,Educational Institution,Telephone,Canada,2019-02-13,English,Feb,"Innovation, Science and Economic Development Canada",,NFP - Incorporation,Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure",Completed,500839,Closed,Small Business Tourism and Marketplace Services,Corporations
5508,1882,,Company,Telephone,Canada,2019-02-13,English,Feb,"Innovation, Science and Economic Development Canada",,Changes Regarding Directors,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500838,Closed,Small Business Tourism and Marketplace Services,Corporations
5512,1886,,Individual,Telephone,Canada,2019-02-13,English,Feb,"Innovation, Science and Economic Development Canada",,"Password
Update",IC Registration,Ontario,Problem (Non-Technical),Completed,500848,Closed,Communications and Marketing Branch,Other
5514,1888,,Individual,Telephone,Canada,2019-02-13,English,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Ontario,Obtain Official Document,Referral (Internal),500851,Closed,Small Business Tourism and Marketplace Services,Corporations
5517,1891,,Individual,Telephone,Canada,2019-02-13,English,Feb,"Innovation, Science and Economic Development Canada",,Password,IC Registration,Alberta,Problem (Non-Technical),Completed,500847,Closed,Communications and Marketing Branch,Other
5518,1892,,Individual,Telephone,Canada,2019-02-13,English,Feb,"Innovation, Science and Economic Development Canada
Provincial Government",,Search for a Federal Corporation,"Corporations Canada (CC)
British Columbia",British Columbia,"Problem (Non-Technical)
Requires Expert Information",Partial Resolution + External,500846,Closed,"Small Business Tourism and Marketplace Services
",Corporations
5521,1895,,Company,Telephone,Canada,2019-02-12,French,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Québec,Requires Expert Information,Referral (Internal),500682,Closed,Small Business Tourism and Marketplace Services,Corporations
5529,1903,,Individual,Telephone,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,"Password
Registration",IC Registration,Ontario,"Problem (Non-Technical)
Requires Information on a Procedure",Completed,500672,Closed,Communications and Marketing Branch,Other
5536,1910,,Company,Telephone,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,Search for a Federal Corporation,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500676,Closed,Small Business Tourism and Marketplace Services,Corporations
5542,1916,,Company,Telephone,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,File an Annual Return,Corporations Canada (CC),Alberta,Requires Expert Information,Referral (Internal),500713,Closed,Small Business Tourism and Marketplace Services,Corporations
5547,1921,,Individual,Telephone,Canada,2019-02-12,English,Feb,Federal Government,,,Canadian Anti-Fraud Centre (CAFC),Québec,Requires Expert Information,Referral (External),500691,Closed,,Other
5555,1929,,Company,Telephone,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,"File an Annual Return
Other",Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500642,Closed,Small Business Tourism and Marketplace Services,Corporations
5556,1930,,Professional Services,Telephone,Canada,2019-02-12,French,Feb,"Innovation, Science and Economic Development Canada",,NUANS,Corporations Canada (CC),New Brunswick,Requires Information on a Procedure,Completed,500637,Closed,Small Business Tourism and Marketplace Services,Corporations
5559,1933,,Professional Services,Telephone,Canada,2019-02-12,English,Feb,Enterprises,,,Private Enterprise,Québec,Requires Information on a Procedure,Referral (External),500646,Closed,,Corporations
5561,1935,,Professional Services,Telephone,Canada,2019-02-12,French,Feb,"Innovation, Science and Economic Development Canada",,Incorporate a Business,Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),500644,Closed,Small Business Tourism and Marketplace Services,Corporations
5565,1939,,Individual,Telephone,Unknown,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,Search for a Federal Corporation,Corporations Canada (CC),,Requires Information on a Procedure,Completed,500624,Closed,Small Business Tourism and Marketplace Services,Corporations
5567,1941,,Company,Telephone,Canada,2019-02-12,English,Feb,Provincial Government,,,Ontario,Ontario,Requires Expert Information,Referral (Internal),500635,Closed,,Corporations
5573,1947,,Company,Telephone,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,Amend Articles of the Corporation,Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),500660,Closed,Small Business Tourism and Marketplace Services,Corporations
5574,1948,,Individual,Telephone,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,,Other,Ontario,Requires Contact Information,Completed,500661,Closed,,Other
5575,1949,,Entrepreneur,Telephone,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,Women Entrepreneurship Fund,"Small Business, Tourism and Marketplace Services",Ontario,Status Update,Completed,500668,Closed,Small Business Tourism and Marketplace Services,Innovation
5596,1970,,Individual,Telephone,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,,"Innovation Advisors
Innovation Canada Platform",British Columbia,"Requires Expert Information
Requires Information on a Procedure
Requires Navigational Aid",Partial Resolution + Internal,500764,Closed,Innovation Canada,Innovation
5615,1989,,Company,Telephone,Canada,2019-02-12,French,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Alberta,Requires Expert Information,Referral (Internal),500784,Closed,Small Business Tourism and Marketplace Services,Corporations
5617,1991,,Company,Telephone,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovation Canada Platform,Ontario,Requires Information on a Procedure,Completed,500781,Closed,Innovation Canada,Innovation
5621,1995,,Individual,Telephone,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovation Canada Platform,Ontario,Requires Information on a Procedure,Completed,500741,Closed,Innovation Canada,Innovation
5625,1999,,Company,Telephone,Canada,2019-02-12,French,Feb,"Innovation, Science and Economic Development Canada",,Revive a Corporation,Corporations Canada (CC),Québec,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,500724,Closed,Small Business Tourism and Marketplace Services,Corporations
5628,2002,,Company,Telephone,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,Dissolve a Corporation,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500728,Closed,Small Business Tourism and Marketplace Services,Corporations
5630,2004,,Company,Telephone,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,Incorporate a Business,Corporations Canada (CC),Alberta,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),500725,Closed,Small Business Tourism and Marketplace Services,Corporations
5631,2005,,Individual,Telephone,Canada,2019-02-12,French,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Québec,Requires Expert Information,Referral (Internal),500726,Closed,Small Business Tourism and Marketplace Services,Corporations
5632,2006,,Company,Telephone,Canada,2019-02-12,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500752,Closed,Small Business Tourism and Marketplace Services,Corporations
5642,2016,,Professional Services,Telephone,Canada,2019-02-12,French,Feb,"Innovation, Science and Economic Development Canada",,Dissolve a Corporation,Corporations Canada (CC),Québec,Requires Expert Information,Partial Resolution + Internal,500746,Closed,Small Business Tourism and Marketplace Services,Corporations
5688,2062,,Professional Services,Telephone,Canada,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Ontario,"Problem (Non-Technical)
Requires Expert Information",Referral (Internal),500455,Closed,Small Business Tourism and Marketplace Services,Corporations
5705,2079,,Individual,Telephone,Unknown,2019-02-11,French,Feb,Federal Government,,,"Immigration, Refugees and Citizenship Canada",,Requires Contact Information,Referral (External),500461,Closed,,Other
5724,2098,,Individual,Telephone,Malaysia,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,Telephone Directory,The Department,,Requires Contact Information,Completed,500436,Closed,,Other
5727,2101,,Individual,Telephone,Canada,2019-02-11,French,Feb,"Innovation, Science and Economic Development Canada",,File an Annual Return,Corporations Canada (CC),Québec,Requires Contact Information,Completed,500445,Closed,Small Business Tourism and Marketplace Services,Corporations
5729,2103,,Company,Telephone,Canada,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,Revive a Corporation,Corporations Canada (CC),Québec,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,500422,Closed,Small Business Tourism and Marketplace Services,Corporations
5730,2104,,Company,Telephone,Canada,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,Changes Regarding Directors,Corporations Canada (CC),Québec,"Requires Information on a Procedure
Requires Expert Information",Partial Resolution + Internal,500430,Closed,Small Business Tourism and Marketplace Services,Corporations
5739,2113,,Company,Telephone,Canada,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,Search for a Federal Corporation,Corporations Canada (CC),Québec,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,500442,Closed,Small Business Tourism and Marketplace Services,Corporations
5746,2120,,Company,Telephone,Canada,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),,Requires Information on a Procedure,Completed,500405,Closed,Small Business Tourism and Marketplace Services,Corporations
5752,2126,,Company,Telephone,Canada,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,Search for a Federal Corporation,Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,500417,Closed,Small Business Tourism and Marketplace Services,Corporations
5757,2131,,Company,Telephone,Canada,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,File an Annual Return,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500562,Closed,Small Business Tourism and Marketplace Services,Corporations
5767,2141,,Company,Telephone,Canada,2019-02-11,French,Feb,"Innovation, Science and Economic Development Canada",,Changes Regarding Directors,Corporations Canada (CC),Québec,Requires Contact Information,Referral (Internal),500549,Closed,Small Business Tourism and Marketplace Services,Corporations
5770,2144,,Company,Telephone,Canada,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,Revive a Corporation,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500554,Closed,Small Business Tourism and Marketplace Services,Corporations
5777,2151,,Entrepreneur,Telephone,Canada,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,Registration,IC Registration,Manitoba,Requires Information on a Procedure,Completed,500587,Closed,Communications and Marketing Branch,Other
5779,2153,,Company,Telephone,United States,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,"Incorporate a Business
NUANS",Corporations Canada (CC),,Requires Expert Information,Referral (Internal),500598,Closed,Small Business Tourism and Marketplace Services,Corporations
5781,2155,,Individual,Telephone,Canada,2019-02-11,French,Feb,"Federal Government
Innovation, Science and Economic Development Canada",,Certification and Engineering Bureau,"Other
Spectrum Management and Telecommunications",Québec,"Requires Expert Information
Requires Information on a Procedure","Referral (External)
Referral (Internal)",500593,Closed,Spectrum Information Technologies and Telecommunications,Other
5785,2159,,Company,Telephone,Canada,2019-02-11,French,Feb,Federal Government,,,Canadian Food Inspection Agency (CFIA),Ontario,Requires Contact Information,Referral (External),500571,Closed,,Other
5786,2160,,Company,Telephone,Canada,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,Amend Articles of the Corporation,Corporations Canada (CC),Ontario,"Requires Information on a Procedure
Requires Expert Information",Partial Resolution + Internal,500573,Closed,Small Business Tourism and Marketplace Services,Corporations
5790,2164,,Individual,Telephone,Canada,2019-02-11,English,Feb,Federal Government,,,Canada Border Services Agency (CBSA),,Requires Expert Information,Referral (External),500576,Closed,,Other
5798,2172,,Professional Services,Telephone,Canada,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500512,Closed,Small Business Tourism and Marketplace Services,Corporations
5801,2175,,Company,Telephone,Canada,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,Stream 1,Strategic Innovation Fund,Ontario,Requires Expert Information,Completed,500510,Closed,Innovation Canada,Innovation
5804,2178,,Company,Telephone,Canada,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),British Columbia,Requires Expert Information,Referral (Internal),500497,Closed,Small Business Tourism and Marketplace Services,Corporations
5808,2182,,Company,Telephone,Canada,2019-02-11,English,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),British Columbia,Obtain Official Document,Completed,500493,Closed,Small Business Tourism and Marketplace Services,Corporations
5813,2187,,Company,Telephone,Canada,2019-02-11,English,Feb,Federal Government,,,Canada Revenue Agency (CRA),Ontario,Requires Expert Information,Referral (External),500500,Closed,,Corporations
5831,2205,,Unknown,Telephone,Canada,2019-02-11,Unknown,Feb,Not Applicable,,,--Not Applicable--,Ontario,Unknown,Completed,500518,Closed,,Other
5833,2207,,Company,Telephone,Canada,2019-02-11,French,Feb,"Innovation, Science and Economic Development Canada",,Revive a Corporation,Corporations Canada (CC),Québec,Requires Information on a Procedure,Partial Resolution + Internal,498749,Closed,Small Business Tourism and Marketplace Services,Corporations
5835,2209,,Company,Telephone,Canada,2019-02-11,French,Feb,"Innovation, Science and Economic Development Canada",,Dissolve a Corporation,Corporations Canada (CC),Québec,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,499259,Closed,Small Business Tourism and Marketplace Services,Corporations
5836,2210,,Company,Telephone,Canada,2019-02-11,French,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),Québec,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),500125,Closed,Small Business Tourism and Marketplace Services,Corporations
5837,2211,,Individual,Telephone,Canada,2019-02-11,French,Feb,Federal Government,,,Canadian Anti-Fraud Centre (CAFC),Québec,Requires Expert Information,Referral (External),500029,Closed,,Other
5840,2214,,Company,Telephone,Canada,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada",,Incorporate a Business,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500285,Closed,Small Business Tourism and Marketplace Services,Corporations
5855,2229,,Individual,Telephone,Unknown,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada",,,Other,,Requires Contact Information,Completed,500274,Closed,,Other
5856,2230,,Company,Telephone,Canada,2019-02-08,English,Feb,Provincial Government,,,Alberta,Alberta,"Obtain Official Document
Requires Expert Information",Referral (External),500270,Closed,,Corporations
5858,2232,,Not-for-profit Corporations,Telephone,Canada,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Québec,Requires Expert Information,Referral (Internal),500272,Closed,Small Business Tourism and Marketplace Services,Corporations
5859,2233,,Company,Telephone,Canada,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),,Requires Navigational Aid,Completed,500271,Closed,Small Business Tourism and Marketplace Services,Corporations
5861,2235,,Company,Telephone,Canada,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada",,Revive a Corporation,Corporations Canada (CC),Québec,"Requires Information on a Procedure
Requires Navigational Aid",Completed,500280,Closed,Small Business Tourism and Marketplace Services,Corporations
5872,2246,,Company,Telephone,Canada,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Ontario,"Requires Information on a Procedure
Requires Navigational Aid",Completed,500354,Closed,Innovation Canada,Innovation
5878,2252,,Company,Telephone,Canada,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada",,Not Applicable,Strategic Innovation Fund,Ontario,Requires Navigational Aid,Completed,500348,Closed,Innovation Canada,Innovation
5880,2254,,Student,Telephone,Canada,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovation Canada Platform,Manitoba,Requires Contact Information,Completed,500370,Closed,Innovation Canada,Innovation
5881,2255,,Company,Telephone,United States,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada",,Weights and Measures,Measurement Canada (MC),,Requires Contact Information,Referral (Internal),500369,Closed,Small Business Tourism and Marketplace Services,Innovation
5882,2256,,Company,Telephone,Unknown,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada",,Dissolve a Corporation,Corporations Canada (CC),,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,500373,Closed,Small Business Tourism and Marketplace Services,Corporations
5884,2258,,Company,Telephone,Canada,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada",,Incorporate a Business,Corporations Canada (CC),Alberta,Requires Expert Information,Referral (Internal),500372,Closed,Small Business Tourism and Marketplace Services,Corporations
5885,2259,,Professional Services,Telephone,Canada,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Alberta,Requires Expert Information,Referral (Internal),500362,Closed,Small Business Tourism and Marketplace Services,Corporations
5894,2268,,Individual,Telephone,Canada,2019-02-08,English,Feb,Federal Government,,,"Immigration, Refugees and Citizenship Canada",Ontario,Requires Expert Information,Referral (External),500312,Closed,,Other
5901,2275,,Company,Telephone,Canada,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada",,Changes Regarding Directors,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500333,Closed,Small Business Tourism and Marketplace Services,Corporations
5907,2281,,Individual,Telephone,Canada,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada
Federal Government",,"Grants and Finances
Starting a Business","Innovation Canada Platform
Canada Small Business Financing Program (CSBFP)
Canada Business Network",,Requires Information on a Procedure,Completed,500322,Closed,"Innovation Canada
Small Business Tourism and Marketplace Services",Innovation
5913,2287,,Individual,Telephone,Canada,2019-02-08,English,Feb,"Innovation, Science and Economic Development Canada",,Other,The Department,,Other,Completed,498846,Closed,,Other
5923,2297,,Unknown,Telephone,Canada,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada",,Search for a Federal Corporation,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500131,Closed,Small Business Tourism and Marketplace Services,Corporations
5929,2303,,Consultant,Telephone,Canada,2019-02-07,French,Feb,"Innovation, Science and Economic Development Canada",,"Trade-Marks
Pre-Approve a Corporate Name","Canadian Intellectual Property Office (CIPO)
Corporations Canada (CC)",,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,500124,Closed,"Canadian Intellectual Property Office
Small Business Tourism and Marketplace Services","Corporations
Intellectual property and copyright"
5934,2308,,Unknown,Telephone,Canada,2019-02-07,French,Feb,"Innovation, Science and Economic Development Canada",,,Other,Québec,Requires Information on a Procedure,Completed,500146,Closed,,Innovation
5952,2326,,Company,Telephone,United States,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada",,Stream 4,Strategic Innovation Fund,,Requires Expert Information,Completed,500097,Closed,Innovation Canada,Innovation
5953,2327,,Company,Telephone,Canada,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada",,Stream 4,Strategic Innovation Fund,Ontario,Requires Expert Information,Referral (Internal),500082,Closed,Innovation Canada,Innovation
5956,2330,,Company,Telephone,Canada,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada",,Search for a Federal Corporation,Corporations Canada (CC),Ontario,"Requires Expert Information
Requires Information on a Procedure",Referral (Internal),500087,Closed,Small Business Tourism and Marketplace Services,Corporations
5960,2334,,Individual,Telephone,Canada,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),,Requires Expert Information,Referral (Internal),500113,Closed,Small Business Tourism and Marketplace Services,Corporations
5965,2339,,Company,Telephone,Canada,2019-02-07,French,Feb,"Innovation, Science and Economic Development Canada",,Revive a Corporation,Corporations Canada (CC),Québec,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,500114,Closed,Small Business Tourism and Marketplace Services,Corporations
5966,2340,,Individual,Telephone,Canada,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada",,Telephone Directory,The Department,Ontario,Requires Contact Information,Completed,500115,Closed,,Other
5968,2342,,Individual,Telephone,Canada,2019-02-07,English,Feb,Not Applicable,,,Not Applicable,Ontario,Other,Completed,500101,Closed,,Other
5981,2355,,Federal Government,Telephone,Canada,2019-02-07,French,Feb,"Innovation, Science and Economic Development Canada",,Obtain Corporation Documents,Corporations Canada (CC),,"Requires Expert Information
Requires Information on a Procedure
Requires Navigational Aid",Partial Resolution + Internal,500204,Closed,Small Business Tourism and Marketplace Services,Corporations
5984,2358,,Individual,Telephone,Unknown,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada",,Password,IC Registration,,Problem (Non-Technical),Completed,500207,Closed,Communications and Marketing Branch,Other
5986,2360,,Individual,Telephone,Canada,2019-02-07,French,Feb,"Innovation, Science and Economic Development Canada",,Revive a Corporation,Corporations Canada (CC),Québec,"Requires Expert Information
Requires Information on a Procedure","Completed
Referral (Internal)",500205,Closed,Small Business Tourism and Marketplace Services,Corporations
5988,2362,,Company,Telephone,Canada,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada",,Other,Corporations Canada (CC),Québec,"Requires Expert Information
Requires Information on a Procedure",Partial Resolution + Internal,500235,Closed,Small Business Tourism and Marketplace Services,Corporations
5990,2364,,Individual,Telephone,Canada,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada",,Telephone Directory,The Department,Québec,Requires Contact Information,Completed,500234,Closed,,Innovation
5994,2368,Simcoe,Individual,Telephone,Canada,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada",N3Y2W7,,"Innovation, Science and Economic Development Web Services Centre",Ontario,Other,Completed,500245,Closed,Communications and Marketing Branch,Innovation
5995,2369,,Individual,Telephone,Canada,2019-02-07,French,Feb,"Innovation, Science and Economic Development Canada",,Changes Regarding Directors,Corporations Canada (CC),,Requires Information on a Procedure,Partial Resolution + Internal,500224,Closed,Small Business Tourism and Marketplace Services,Corporations
5999,2373,,Company,Telephone,Unknown,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada",,"Obtain Corporation Documents
Other",Corporations Canada (CC),,"Requires Information on a Procedure
Requires Expert Information",Referral (Internal),500229,Closed,Small Business Tourism and Marketplace Services,Corporations
6007,2381,,Company,Telephone,Canada,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada",,File an Annual Return,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500169,Closed,Small Business Tourism and Marketplace Services,Corporations
6009,2383,,Company,Telephone,Canada,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Alberta,Requires Expert Information,Referral (Internal),500168,Closed,Innovation Canada,Innovation
6013,2387,,Individual,Telephone,Canada,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada",,NUANS,Corporations Canada (CC),Ontario,Requires Expert Information,Referral (Internal),500157,Closed,Small Business Tourism and Marketplace Services,Corporations
6036,2410,,Entrepreneur,Telephone,Canada,2019-02-07,English,Feb,"Innovation, Science and Economic Development Canada
Provincial Government",,"Incorporate a Business
NUANS","Corporations Canada (CC)
Ontario",Ontario,Requires Information on a Procedure,Completed,499772,Closed,Small Business Tourism and Marketplace Services,Corporations
6047,2421,,Individual,Telephone,Canada,2019-02-07,French,Feb,"Innovation, Science and Economic Development Canada",,,Innovative Solutions Canada,Québec,Technical Problem,Completed,499908,Closed,Innovation Canada,Innovation
